1270095261017178122 2020-06-08 20:48:02 UTC <TIME> Joe Biden's campaign promises police reform without defunding departments https://ti.me/3h7Bgmh 
1270091126914113538 2020-06-08 20:31:36 UTC <TIME> Basketball star Maya Moore talks George Floyd, protesting police violence and Drew Brees https://ti.me/3dP4OD6 
1270087355978985475 2020-06-08 20:16:37 UTC <TIME> Is New York City making a huge mistake by reopening right now? https://ti.me/2Yhcbwn 
1270083816544239619 2020-06-08 20:02:33 UTC <TIME> France to abandon police chokeholds following renewed criticism of violence by law enforcement https://ti.me/37c0A61 
1270076037259501572 2020-06-08 19:31:38 UTC <TIME> From "Do the Right Thing" to "Fruitvale Station," 12 movies to watch to educate yourself about racism and protest history https://ti.me/3dLcS7N 
1270068514171297799 2020-06-08 19:01:45 UTC <TIME> Monuments of slave traders, genociders and imperialists are becoming flashpoints in global anti-racism protests https://ti.me/2XGKKNz 
1270065766155587584 2020-06-08 18:50:49 UTC <TIME> Tune in tomorrow at 1pm ET for a live #TIME100Talks featuring @NYCMayor Bill de Blasio in a conversation about how leaders are responding to the intersecting global crises of injustice and COVID-19  Register here:  https://ti.me/2AO9zOD  pic.twitter.com/7DHSKmj5RZ
1270060977355214849 2020-06-08 18:31:48 UTC <TIME> Democrats unveil police reform overhaul package, kneel in silence at Capitol https://ti.me/3h5xuK4 
1270053363586138113 2020-06-08 18:01:32 UTC <TIME> "May's jobs report doesn’t say what we think it says. The economy is far more confusing right now," writes Zachary Karabell https://ti.me/37aGfhi 
1270045930780311553 2020-06-08 17:32:00 UTC <TIME> Why the killing of George Floyd sparked an American uprising https://ti.me/2ARQPO8 
1270042055692242946 2020-06-08 17:16:36 UTC <TIME> Jennifer Eberhardt wrote a book about bias. Here's why she's not convinced defunding the police is the answer https://ti.me/2XJAEM4 
1270038261034090496 2020-06-08 17:01:32 UTC <TIME> The best songs of 2020 so far, including: • Bad Bunny (@sanbenito), “Yo Perreo Sola” • Christine and the Queens (@QueensChristine), “People, I’ve been sad” • @ladygaga and @ArianaGrande, “Rain on Me” https://ti.me/37b6zYN 
1270037228450992128 2020-06-08 16:57:26 UTC <TIME> A viewing and memorial is held for George Floyd in Houston, Texas https://twitter.com/i/broadcasts/1RDGlrEnBPrxL …
1270034581484429319 2020-06-08 16:46:54 UTC <TIME> For the final moment of the address, Lisa holds up a sign with a request: “Congrats Class of 2020: Please save us” https://ti.me/3eWGW0q 
1270030719662817281 2020-06-08 16:31:34 UTC <TIME> “The U.K. is not innocent.” George Floyd protests spark anti-racism demonstrations across Britain — and protesters say the reckoning is overdue https://ti.me/3dKBopL 
1270026734235193344 2020-06-08 16:15:44 UTC <TIME> Former Minneapolis police officer Derek Chauvin has first court appearance in George Floyd murder case https://ti.me/3cGwRDj 
1270023381866381313 2020-06-08 16:02:24 UTC <TIME> Mourners will be able to view George Floyd’s casket Monday in his hometown of Houston, the final stop of a series of memorials in his honor https://ti.me/2UkSP8s 
1270019499698331649 2020-06-08 15:46:59 UTC <TIME> Legal and historical experts say that the word riot is a loaded one: While it aptly describes some events that have unfolded during the past two weeks, using it risks eclipsing the full picture by zooming in on a small, sensational slice of the action https://ti.me/3f3Omze 
1270015678414819336 2020-06-08 15:31:48 UTC <TIME> Stores previously deemed nonessential were cleared to reopen for delivery and pickup, though customers cannot yet browse inside. Construction, manufacturing and wholesalers also received the go-ahead to resume work https://ti.me/3cI4DrR 
1270011841817780224 2020-06-08 15:16:33 UTC <TIME> Energy firm BP to cut 10,000 jobs worldwide amid coronavirus pandemic https://ti.me/2APr1Cm 
