1271318499214757890 2020-06-12 05:48:44 UTC <inteldotwav>  pic.twitter.com/YfexJNU0Al
1271317948578193411 2020-06-12 05:46:33 UTC <inteldotwav> Somebody bought VOO in December and bag held the whole way down
1271315086427058178 2020-06-12 05:35:11 UTC <inteldotwav> Ice Cube has ground up both the red pills and blue pills and has proceeded to make them into crack https://twitter.com/icecube/status/1271215345232039936 …
1271314824304054275 2020-06-12 05:34:08 UTC <inteldotwav> Holy shit it was Vanguard all along https://twitter.com/icecube/status/1271251021675687936 …
1271310389423116292 2020-06-12 05:16:31 UTC <inteldotwav> Basically the events of the past few days in Seattle: pic.twitter.com/DIKTmpJv0x
1271243062585499648 2020-06-12 00:48:59 UTC <inteldotwav>  pic.twitter.com/s6hsSPQkZL
1271163632949374979 2020-06-11 19:33:21 UTC <inteldotwav> Twitter and its consequences have been a disaster for the human race
1271163098129469440 2020-06-11 19:31:14 UTC <inteldotwav> I am formally seceding from the US and declaring the state of Gamerstan
1271159180171382790 2020-06-11 19:15:40 UTC <inteldotwav> The “People’s Garden” in the Seattle CHAZ. pic.twitter.com/IgdPCAVjGY
1271141307512127489 2020-06-11 18:04:39 UTC <inteldotwav> I’ve never pretended to be serious
1271126863054876672 2020-06-11 17:07:15 UTC <inteldotwav> Proving yet again that nobody ever has an original thought
1271125652209614851 2020-06-11 17:02:26 UTC <inteldotwav> This is like Fallout but shitty
1271124420925566976 2020-06-11 16:57:32 UTC <inteldotwav> GET IN THE ZONE AUTONOMOUS ZONE
1271124289522196480 2020-06-11 16:57:01 UTC <inteldotwav> The CHAZ should get a corporate sponsor…  AutoZone Autonomous Zone?
1271123605716447235 2020-06-11 16:54:18 UTC <inteldotwav> No cars allowed in the CHAZ… except for the warlord’s Tesla.   Someone should put a brick through his windshield pic.twitter.com/KpDuKrsZKn
1271120782647857152 2020-06-11 16:43:05 UTC <inteldotwav> Civ V CHAZ mod when pic.twitter.com/aViosYPVP5
1271120211958169600 2020-06-11 16:40:49 UTC <inteldotwav> The easiest way to tell if someone’s radicalized is if they have an anime profile pic
1271120104852504579 2020-06-11 16:40:23 UTC <inteldotwav> The CHAZ is like Mad Max, but with less Australians and more lesbians
1271119789633744896 2020-06-11 16:39:08 UTC <inteldotwav> Why are 90% of lefty anarchists shemales
1271119571752288256 2020-06-11 16:38:16 UTC <inteldotwav> It’s real but only proposed
