	datetime	message
149	2020-06-07 20:30:00	<Reuters> WATCH: Mexican archeologists have found the remains of a 200-year-old shipwreck off the coast of the country’s Caribbean coast pic.twitter.com/17nNbHaAUG
213	2020-06-07 20:29:20	<Bitcoin> “Paper money eventually returns to its intrinsic value - zero.” ~ Voltaire
271	2020-06-07 20:29:20	"<BBCWorld> ""Lockdown...has trapped victims and vulnerable children in homes with their would-be traffickers""  @BBCfileon4 explores the spike in online child abuse during Covid-19 lockdown, in a series investigating how the pandemic is shaping organised crime   http://bbc.in/3cBvPsg  pic.twitter.com/8sBTeoQwp2"
150	2020-06-07 20:25:02	<Reuters> Global coronavirus deaths top 400,000 as outbreak grows in Brazil, India: Reuters tally  https://reut.rs/2Mzu5oZ  pic.twitter.com/sF6rpSiDjM
323	2020-06-07 20:24:59	<wongkim728>  https://youtu.be/iAlhymOnpL8 
324	2020-06-07 20:23:36	<wongkim728>  https://youtu.be/iAlhymOnpL8 
325	2020-06-07 20:23:18	<wongkim728>  https://youtu.be/iAlhymOnpL8 
154	2020-06-07 20:20:02	<nytimes> Somali refugees in the Minneapolis area who fled political chaos, violence and oppression are alarmed at what they say are emerging signs of similar strife in their new home. “I realized that the U.S. is not much different from the country I came from.” https://nyti.ms/2MDu9Ux 
151	2020-06-07 20:20:01	<Reuters> McGregor announces his third retirement on Twitter  https://reut.rs/2MEG1pq  pic.twitter.com/fqkjlvtTo9
424	2020-06-07 20:01:37	<TIME> “There is no middle ground anymore,” says Chloe, 25, a teacher. “Either we accept being integrated into China now, or we become independent” https://ti.me/2MxVkQQ 
155	2020-06-07 20:00:14	<nytimes> “Being separated was something I didn’t expect, and it broke me.” Yousef was 13 when his family left Syria for Europe. 5 years later, he’s adjusting to life without his 3 sisters and the ups and downs of adolescence. https://nyti.ms/2zbVKJx 
227	2020-06-07 19:57:00	<RFAChinese> 杜特地、匈牙利的欧尔班·维克托(Viktor Orban)、职业生涯初期的普京等领导人正是通过承诺满足这些愿望而崛起，康奈尔大学学者汤姆·佩平斯基(Tom Pepinsky)将这种策略称为“秩序高于法律，而不是法律与秩序”。   https://buff.ly/2XGydtm 
425	2020-06-07 19:53:39	<TIME> German minister describes U.S. relationship as 'complicated' amid troop withdrawal plans https://ti.me/2UlN36F 
156	2020-06-07 19:40:03	<nytimes> Now that the CDC has recommended changes to American offices, companies are preparing elaborate new routines intended to keep their employees healthy. In many cases, the changes will transform offices into fortified sites resembling biohazard labs. https://nyti.ms/2XGzNf6 
426	2020-06-07 19:39:00	<TIME> George Floyd protests spread to smaller, mostly white communities https://ti.me/3gWvZxI 
427	2020-06-07 19:31:46	"<TIME> ""We all have to do better.""   As a former police chief, @RepValDemings wants to see more police speaking out against brutality #TIME100Talks https://ti.me/370rMoi "
157	2020-06-07 19:31:18	<nytimes> Mayor Bill de Blasio of New York said for the first time that he would divert city funds from the New York Police Department to youth and social services.  Read more here:  https://nyti.ms/30jE0qG  pic.twitter.com/BwoRBqvo8w
